timestamp,speed,rpm,coolant_temp,battery_voltage,brake_pressure
2026-09-06 10:00:00,47,2383,89.7,13.46,76.4
2026-09-06 10:00:01,85,2654,91.3,13.57,76.6
2026-09-06 10:00:02,101,1287,89.7,14.03,17.4
2026-09-06 10:00:03,44,3153,78.5,13.78,82.1
2026-09-06 10:00:04,57,1330,79.6,14.38,85.1
2026-09-06 10:00:05,92,3010,85.1,13.73,74.0
2026-09-06 10:00:06,56,1836,84.5,13.8,93.2
2026-09-06 10:00:07,81,1714,85.4,13.61,28.6
2026-09-06 10:00:08,100,1714,89.8,14.07,67.1
2026-09-06 10:00:09,22,1502,75.9,13.71,87.5
2026-09-06 10:00:10,98,2949,82.9,13.33,55.2
2026-09-06 10:00:11,17,2437,79.5,13.38,47.7
2026-09-06 10:00:12,7,1193,89.0,13.22,47.9
2026-09-06 10:00:13,39,1035,77.0,13.77,42.1
2026-09-06 10:00:14,51,2859,91.4,13.73,18.9
2026-09-06 10:00:15,64,2849,94.3,14.21,28.0
2026-09-06 10:00:16,21,1488,77.9,14.33,6.6
2026-09-06 10:00:17,113,2990,78.3,13.23,88.1
2026-09-06 10:00:18,41,2778,79.9,13.88,94.7
2026-09-06 10:00:19,81,816,88.2,14.31,57.7
2026-09-06 10:00:20,5,1833,85.1,14.39,4.4
2026-09-06 10:00:21,47,1580,81.3,13.83,74.5
2026-09-06 10:00:22,20,2099,93.6,13.51,12.1
2026-09-06 10:00:23,60,3459,92.0,13.43,56.9
2026-09-06 10:00:24,34,1658,90.6,14.22,47.5
2026-09-06 10:00:25,107,2167,89.0,13.37,97.3
2026-09-06 10:00:26,3,2010,78.8,13.36,56.6
2026-09-06 10:00:27,10,1301,87.3,13.79,72.6
2026-09-06 10:00:28,93,936,76.7,14.25,22.8
2026-09-06 10:00:29,119,1722,76.3,14.27,91.8
2026-09-06 10:00:30,38,2341,83.6,13.28,0.3
2026-09-06 10:00:31,92,3343,90.4,13.63,40.8
2026-09-06 10:00:32,35,3267,81.5,13.5,12.3
2026-09-06 10:00:33,11,980,82.7,13.25,82.0
2026-09-06 10:00:34,21,1007,84.3,13.66,7.9
2026-09-06 10:00:35,69,1557,88.3,14.03,97.7
2026-09-06 10:00:36,21,1447,77.4,14.19,86.5
2026-09-06 10:00:37,45,2427,92.9,13.96,29.1
2026-09-06 10:00:38,87,1412,90.5,13.74,10.1
2026-09-06 10:00:39,108,917,80.9,13.75,62.4
2026-09-06 10:00:40,32,2487,78.8,13.36,36.0
2026-09-06 10:00:41,57,1756,83.8,14.15,5.9
2026-09-06 10:00:42,118,3216,92.4,13.24,84.0
2026-09-06 10:00:43,17,2162,77.1,13.56,9.8
2026-09-06 10:00:44,82,3003,93.0,13.89,1.3
2026-09-06 10:00:45,32,1431,92.6,14.08,17.5
2026-09-06 10:00:46,81,2625,79.2,13.44,45.9
2026-09-06 10:00:47,27,3480,83.1,14.02,49.1
2026-09-06 10:00:48,90,2946,87.8,13.7,72.0
2026-09-06 10:00:49,80,2568,76.7,14.4,65.1
2026-09-06 10:00:50,27,2437,85.2,13.87,36.3
2026-09-06 10:00:51,35,2302,84.6,13.73,92.6
2026-09-06 10:00:52,55,2079,87.6,13.57,71.3
2026-09-06 10:00:53,46,2372,84.0,13.94,97.8
2026-09-06 10:00:54,91,1706,80.4,13.55,76.2
2026-09-06 10:00:55,98,1740,80.1,13.26,58.0
2026-09-06 10:00:56,5,830,87.5,14.01,1.0
2026-09-06 10:00:57,62,1551,91.1,13.95,97.4
2026-09-06 10:00:58,17,2489,91.2,13.59,93.5
2026-09-06 10:00:59,50,862,90.0,13.71,73.7
2026-09-06 10:01:00,13,2117,91.3,13.37,17.2
2026-09-06 10:01:01,21,1302,92.9,13.59,26.9
2026-09-06 10:01:02,62,1674,85.0,14.4,95.7
2026-09-06 10:01:03,82,3056,82.3,14.02,72.6
2026-09-06 10:01:04,0,2229,89.1,13.47,31.5
2026-09-06 10:01:05,95,1421,81.3,14.28,91.6
2026-09-06 10:01:06,116,1371,87.6,13.44,19.8
2026-09-06 10:01:07,58,2156,91.4,13.7,55.7
2026-09-06 10:01:08,47,1852,85.0,13.33,85.0
2026-09-06 10:01:09,39,2129,79.5,13.82,42.3
2026-09-06 10:01:10,50,1885,86.7,13.58,13.6
2026-09-06 10:01:11,62,2541,88.4,13.32,65.7
2026-09-06 10:01:12,45,1633,89.9,14.08,73.8
2026-09-06 10:01:13,54,3001,80.4,13.93,28.7
2026-09-06 10:01:14,5,841,79.7,13.63,80.6
2026-09-06 10:01:15,109,1428,77.0,13.58,19.4
2026-09-06 10:01:16,3,2712,82.6,14.12,96.6
2026-09-06 10:01:17,43,3377,94.1,14.23,53.7
2026-09-06 10:01:18,99,991,94.7,13.81,77.3
2026-09-06 10:01:19,35,2323,82.0,13.44,76.0
2026-09-06 10:01:20,112,981,85.8,14.39,66.7
