vehicle_id,timestamp,parameter,value,anomaly_type,severity
VEH0003,2023-01-01 13:18:00,engine_temp_c,117.67521390154003,Engine Overheating,HIGH
VEH0004,2023-01-01 03:20:00,engine_temp_c,118.27091373648278,Engine Overheating,HIGH
VEH0005,2023-01-02 01:51:00,engine_temp_c,127.98457559081928,Engine Overheating,HIGH
VEH0006,2023-01-01 08:38:00,engine_temp_c,111.21899466071588,Engine Overheating,HIGH
VEH0007,2023-01-01 04:10:00,engine_temp_c,124.89508480871407,Engine Overheating,HIGH
VEH0011,2023-01-01 05:06:00,engine_temp_c,119.51526149750056,Engine Overheating,HIGH
VEH0014,2023-01-01 10:12:00,engine_temp_c,118.58592470520097,Engine Overheating,HIGH
VEH0017,2023-01-01 09:30:00,engine_temp_c,111.7185636524671,Engine Overheating,HIGH
VEH0018,2023-01-01 02:36:00,engine_temp_c,129.45861344477208,Engine Overheating,HIGH
VEH0019,2023-01-01 20:32:00,engine_temp_c,132.71403827080957,Engine Overheating,HIGH
VEH0020,2023-01-01 10:24:00,engine_temp_c,121.39759153335528,Engine Overheating,HIGH
VEH0022,2023-01-01 11:54:00,engine_temp_c,116.25444342828918,Engine Overheating,HIGH
VEH0023,2023-01-01 21:00:00,engine_temp_c,110.31497767954552,Engine Overheating,HIGH
VEH0025,2023-01-01 01:06:00,engine_temp_c,127.09603523687927,Engine Overheating,HIGH
VEH0026,2023-01-01 10:48:00,engine_temp_c,131.30975531160271,Engine Overheating,HIGH
VEH0030,2023-01-01 00:20:00,engine_temp_c,126.9331578399418,Engine Overheating,HIGH
VEH0031,2023-01-01 07:30:00,engine_temp_c,119.3224707208603,Engine Overheating,HIGH
VEH0033,2023-01-01 17:38:00,engine_temp_c,127.17595920360787,Engine Overheating,HIGH
VEH0035,2023-01-01 06:58:00,engine_temp_c,115.67299446798052,Engine Overheating,HIGH
VEH0037,2023-01-01 22:49:00,engine_temp_c,117.822192966653,Engine Overheating,HIGH
VEH0040,2023-01-01 08:00:00,engine_temp_c,115.50279451512628,Engine Overheating,HIGH
VEH0042,2023-01-01 02:06:00,engine_temp_c,110.13604061626016,Engine Overheating,HIGH
VEH0048,2023-01-02 07:30:00,engine_temp_c,124.60252458028418,Engine Overheating,HIGH
VEH0049,2023-01-01 23:26:00,engine_temp_c,131.31331081629267,Engine Overheating,HIGH
VEH0049,2023-01-01 18:12:00,engine_temp_c,115.33018643326452,Engine Overheating,HIGH
VEH0003,2023-01-01 13:18:00,engine_rpm,7569.073037369791,Excessive Engine RPM,HIGH
VEH0004,2023-01-01 03:20:00,engine_rpm,7672.768471262451,Excessive Engine RPM,HIGH
VEH0005,2023-01-02 01:51:00,engine_rpm,7041.748073269771,Excessive Engine RPM,HIGH
VEH0007,2023-01-01 04:10:00,engine_rpm,6873.909722167396,Excessive Engine RPM,HIGH
VEH0011,2023-01-01 05:06:00,engine_rpm,6040.560629789162,Excessive Engine RPM,HIGH
VEH0014,2023-01-01 10:12:00,engine_rpm,6415.541258879457,Excessive Engine RPM,HIGH
VEH0018,2023-01-01 02:36:00,engine_rpm,7027.407731245111,Excessive Engine RPM,HIGH
VEH0019,2023-01-01 20:32:00,engine_rpm,6186.595710953488,Excessive Engine RPM,HIGH
VEH0020,2023-01-01 10:24:00,engine_rpm,7620.728799518874,Excessive Engine RPM,HIGH
VEH0022,2023-01-01 11:54:00,engine_rpm,7795.057244753729,Excessive Engine RPM,HIGH
VEH0025,2023-01-01 01:06:00,engine_rpm,6255.136302728569,Excessive Engine RPM,HIGH
VEH0026,2023-01-01 10:48:00,engine_rpm,6894.321009061328,Excessive Engine RPM,HIGH
VEH0030,2023-01-01 00:20:00,engine_rpm,7593.696353544246,Excessive Engine RPM,HIGH
VEH0033,2023-01-01 17:38:00,engine_rpm,7396.545187061093,Excessive Engine RPM,HIGH
VEH0035,2023-01-01 06:58:00,engine_rpm,7660.385126139143,Excessive Engine RPM,HIGH
VEH0037,2023-01-01 22:49:00,engine_rpm,7912.265712684738,Excessive Engine RPM,HIGH
VEH0040,2023-01-01 08:00:00,engine_rpm,6958.831597254204,Excessive Engine RPM,HIGH
VEH0048,2023-01-02 07:30:00,engine_rpm,7806.602254777519,Excessive Engine RPM,HIGH
VEH0049,2023-01-01 23:26:00,engine_rpm,7344.55765894816,Excessive Engine RPM,HIGH
VEH0003,2023-01-01 13:18:00,coolant_temp_c,129.71845317940034,High Coolant Temperature,HIGH
VEH0004,2023-01-01 03:20:00,coolant_temp_c,128.91569292481913,High Coolant Temperature,HIGH
VEH0005,2023-01-02 01:51:00,coolant_temp_c,127.20506572799408,High Coolant Temperature,HIGH
VEH0007,2023-01-01 04:10:00,coolant_temp_c,122.32921756457594,High Coolant Temperature,HIGH
VEH0011,2023-01-01 05:06:00,coolant_temp_c,111.18446610793217,High Coolant Temperature,HIGH
VEH0014,2023-01-01 10:12:00,coolant_temp_c,113.43747405078494,High Coolant Temperature,HIGH
VEH0018,2023-01-01 02:36:00,coolant_temp_c,113.69302491787396,High Coolant Temperature,HIGH
VEH0019,2023-01-01 20:32:00,coolant_temp_c,122.7991277022914,High Coolant Temperature,HIGH
VEH0020,2023-01-01 10:24:00,coolant_temp_c,114.80525168997865,High Coolant Temperature,HIGH
VEH0022,2023-01-01 11:54:00,coolant_temp_c,125.16605234421036,High Coolant Temperature,HIGH
VEH0025,2023-01-01 01:06:00,coolant_temp_c,121.72416332381016,High Coolant Temperature,HIGH
VEH0026,2023-01-01 10:48:00,coolant_temp_c,125.87264828511162,High Coolant Temperature,HIGH
VEH0030,2023-01-01 00:20:00,coolant_temp_c,112.49394894247206,High Coolant Temperature,HIGH
VEH0033,2023-01-01 17:38:00,coolant_temp_c,111.57324116628516,High Coolant Temperature,HIGH
VEH0035,2023-01-01 06:58:00,coolant_temp_c,128.5971700100112,High Coolant Temperature,HIGH
VEH0037,2023-01-01 22:49:00,coolant_temp_c,117.62830687566714,High Coolant Temperature,HIGH
VEH0040,2023-01-01 08:00:00,coolant_temp_c,112.1079386965828,High Coolant Temperature,HIGH
VEH0048,2023-01-02 07:30:00,coolant_temp_c,125.28511348048282,High Coolant Temperature,HIGH
VEH0049,2023-01-01 23:26:00,coolant_temp_c,129.8630820718032,High Coolant Temperature,HIGH
VEH0005,2023-01-01 06:18:00,battery_voltage_v,11.424393541144632,Low Battery Voltage,HIGH
VEH0006,2023-01-01 00:37:00,battery_voltage_v,11.346890842475169,Low Battery Voltage,HIGH
VEH0006,2023-01-01 02:57:00,battery_voltage_v,10.016203260284614,Low Battery Voltage,HIGH
VEH0006,2023-01-01 05:20:00,battery_voltage_v,10.090029258121644,Low Battery Voltage,HIGH
